PATH;LINE;SMELL;TIME
ansible-role-container-registry-tasks-docker-distribution.yml;0;none;2.946266174316406
ansible-role-container-registry-vars-main.yml;0;none;4.061755180358887
ansible-role-systemd_mount-ansible-role-requirements.yaml;0;none;2.622359275817871
ansible-role-systemd_mount-tasks-systemd_mounts.yml;0;none;5.728923797607422
ansible-role-systemd_mount-tests-group_vars-all_containers.yml;0;none;3.377599000930786
ansible-role-systemd_mount-vars-main.yml;0;none;4.118273019790649
ansible-role-systemd_networkd-zuul.d-project.yaml;0;none;4.9693334102630615
ansible-role-tripleo-modify-image-tasks-modify_image.yml;35;Suspicious comment;2.945728063583374
bifrost-playbooks-install.yaml;0;none;4.24628210067749
bifrost-playbooks-roles-bifrost-ironic-install-defaults-required_defaults_Fedora_26.yml;0;none;7.505748987197876
bifrost-playbooks-roles-bifrost-ironic-install-defaults-required_defaults_Ubuntu_15.04.yml;0;none;2.8498878479003906
bifrost-playbooks-roles-bifrost-keystone-client-config-defaults-main.yml;0;none;4.300201177597046
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml;15;Admin by default;4.615163087844849
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml;47;Admin by default;4.615163087844849
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml;16;Empty password;4.615163087844849
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml;47;Hard-coded secret;4.615163087844849
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml;48;Hard-coded secret;4.615163087844849
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml;55;Hard-coded secret;4.615163087844849
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml;56;Hard-coded secret;4.615163087844849
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml;61;Hard-coded secret;4.615163087844849
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml;62;Hard-coded secret;4.615163087844849
bifrost-playbooks-roles-bifrost-keystone-install-defaults-required_defaults_Debian_jessie.yml;0;none;2.5575859546661377
bifrost-playbooks-roles-bifrost-keystone-install-defaults-required_defaults_Fedora_22.yml;0;none;3.0160040855407715
bifrost-playbooks-roles-bifrost-test-dhcp-defaults-main.yml;0;none;2.011965036392212
bifrost-playbooks-roles-bifrost-test-inspection-handlers-main.yml;0;none;2.050605058670044
bifrost-playbooks-roles-bifrost-test-vm-handlers-main.yml;0;none;2.329582929611206
bifrost-playbooks-roles-bifrost-unprovision-node-dynamic-tasks-main.yml;0;none;4.6991870403289795
browbeat-ansible-browbeat-roles-gnocchi-config-tasks-main.yml;11;Suspicious comment;2.9346349239349365
browbeat-ansible-browbeat-roles-keystone-token-tasks-main.yml;0;none;3.739257097244263
browbeat-ansible-browbeat-roles-nova-db-tasks-main.yml;0;none;4.68013072013855
browbeat-ansible-check-roles-controller-tasks-main.yml;0;none;5.549206018447876
browbeat-ansible-gather-roles-rabbitmq-tasks-main.yml;0;none;2.6981277465820312
browbeat-ansible-gather-roles-undercloud-tasks-main.yml;0;none;3.303539991378784
browbeat-ansible-install-roles-common-tasks-main.yml;0;none;6.2849438190460205
browbeat-ansible-install-roles-epel-defaults-main.yml;0;none;2.5050599575042725
browbeat-ansible-install-roles-fluentd-tasks-main.yml;0;none;3.763981819152832
browbeat-ansible-install-roles-grafana-dashboards-files-cloud_instance_count.yaml;0;none;4.660125017166138
browbeat-ansible-install-roles-grafana-dashboards-templates-partials-ironic_metrics.yaml;0;none;2.7700328826904297
browbeat-ansible-install-roles-grafana-dashboards-templates-partials-processes.yaml;0;none;5.5787999629974365
browbeat-ansible-install-roles-kibana-visualization-vars-keystone_controller_count_visualizations.yml;0;none;8.5761399269104
networking-ovn-migration-tripleo_environment-playbooks-ovn-migration.yml;0;none;3.919041633605957
openstack-ansible-inventory-env.d-blazar.yml;0;none;5.681948900222778
openstack-ansible-inventory-env.d-cinder.yml;0;none;6.453274250030518
openstack-ansible-inventory-env.d-designate.yml;0;none;3.121795177459717
openstack-ansible-inventory-env.d-neutron.yml;0;none;2.809262990951538
openstack-ansible-inventory-env.d-rsyslog.yml;0;none;3.6145639419555664
openstack-ansible-inventory-group_vars-ceilometer_all.yml;0;none;5.025449991226196
openstack-ansible-inventory-group_vars-ceph-rgw.yml;0;none;5.106459140777588
openstack-ansible-inventory-group_vars-designate_all.yml;0;none;3.185994148254395
openstack-ansible-inventory-group_vars-trove_all.yml;0;none;5.112183094024658
openstack-ansible-inventory-group_vars-utility_all.yml;0;none;9.003138065338135
openstack-ansible-ops-elk_metrics_6x-roles-elastic_data_hosts-meta-main.yml;0;none;9.24469804763794
openstack-ansible-ops-elk_metrics_6x-roles-elastic_filebeat-tasks-main.yml;0;none;6.140169858932495
openstack-ansible-ops-elk_metrics_6x-roles-elastic_heartbeat-handlers-main.yml;0;none;3.5011861324310303
openstack-ansible-ops-elk_metrics_6x-roles-elastic_journalbeat-vars-redhat.yml;0;none;3.220410108566284
openstack-ansible-ops-elk_metrics_6x-roles-elastic_kibana-meta-main.yml;0;none;2.8659110069274902
openstack-ansible-ops-elk_metrics_6x-roles-elastic_logstash-tasks-logstash_arcsight.yml;0;none;3.169847011566162
openstack-ansible-ops-elk_metrics_6x-roles-elastic_rollup-defaults-main.yml;0;none;2.6680960655212402
openstack-ansible-ops-elk_metrics_6x-roles-elasticsearch-meta-main.yml;0;none;3.9400696754455566
openstack-ansible-ops-elk_metrics_6x-roles-go_install_1.10-tasks-main.yml;0;none;3.025675058364868
openstack-ansible-ops-elk_metrics_6x-tests-ansible-role-requirements.yml;0;none;4.490844964981079
openstack-ansible-ops-leap-upgrades-upgrade-utilities-mitaka-playbooks-deploy-config-changes-mitaka.yml;20;Admin by default;4.47857403755188
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;18;Unrestricted IP Address;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;24;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;28;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;32;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;53;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;54;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;57;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;60;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;68;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;69;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;72;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;75;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;83;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;84;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;87;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;90;Use of HTTP without SSL/TLS;5.699177980422974
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml;96;Use of HTTP without SSL/TLS;5.699177980422974
