PATH,LINE,SMELL,CATEGORY
AYCHIT_Asf-chef-cookbooks-rsnapshot-resources-script.rb,0,none,none
EEDARIT_opsworks-cookbooks-iis-resources-root.rb,0,none,none
EEDARIT_opsworks-cookbooks-windows-providers-feature_powershell.rb,0,none,none
Nikhil424_chef-repo-cookbooks-windows-resources-pagefile.rb,0,none,none
Soluciones_ey-cloud-recipes-cookbooks-solr-attributes-solr.rb,0,none,none
binary-com_chef-third-party-cookbooks-cron-attributes-default.rb,0,none,none
binary-com_chef-third-party-cookbooks-datadog-recipes-network.rb,0,none,none
binary-com_chef-third-party-cookbooks-datadog-recipes-openmetrics.rb,0,none,none
binary-com_chef-third-party-cookbooks-poise-files-halite_gem-poise-subcontext-resource_collection.rb,0,none,none
cookbooks_hw-nginx-recipes-commons_dir.rb,0,none,none
cookbooks_ic-cloud_utils-cookbooks-hadoop_cluster-recipes-default.rb,0,none,none
cookbooks_ic-cloud_utils-cookbooks-redis-recipes-install_from_package.rb,0,none,none
cookbooks_ic-ganglia-cookbooks-hadoop_cluster-example-clusters-science.rb,0,none,none
cookbooks_ic-hadoop_cluster-cookbooks-hbase-recipes-stargate.rb,0,none,none
cookbooks_ic-hadoop_cluster-roles-cassandra_client.rb,0,none,none
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-agent.rb,0,none,none
cookbooks_ic-motd-roles-elasticsearch_datanode.rb,0,none,none
cookbooks_ic-snappy-roles-statsd_server.rb,0,none,none
cookbooks_ic-tuning-cookbooks-ganglia-recipes-default.rb,0,none,none
cookbooks_ic-volumes-cookbooks-silverware-libraries-dump_aspects.rb,0,none,none
cookbooks_ic-volumes_ebs-cookbooks-zabbix-resources-user.rb,0,none,none
davestarling_chef-features-data-cookbooks-manage_files-recipes-default.rb,0,none,none
guymatz_chef-cookbooks-cutlery-libraries-notifying_action.rb,0,none,none
guymatz_chef-cookbooks-nagios-recipes-server_package.rb,0,none,none
gwalbran_chef-cookbooks-imos_backup-attributes-restore.rb,0,none,none
gwalbran_chef-cookbooks-imos_webapps-definitions-ncwms.rb,0,none,none
havk64_chef-zero-playground-cookbooks-nginx-attributes-socketproxy.rb,0,none,none
