PATH;LINE;SMELL;TIME
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;75;Admin by default;3.048689126968384
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;101;Admin by default;3.048689126968384
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;93;Suspicious comment;3.048689126968384
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;112;Suspicious comment;3.048689126968384
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;117;Missing Default in Case Statement;3.048689126968384
AYCHIT_Asf-chef-cookbooks-rsnapshot-resources-script.rb;0;none;3.0489420890808105
binary-com_chef-third-party-cookbooks-cron-attributes-default.rb;0;none;6.899667263031006
binary-com_chef-third-party-cookbooks-datadog-recipes-network.rb;0;none;4.238987922668457
binary-com_chef-third-party-cookbooks-datadog-recipes-openmetrics.rb;0;none;5.193392038345337
binary-com_chef-third-party-cookbooks-poise-files-halite_gem-poise-subcontext-resource_collection.rb;0;none;7.132472038269043
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb;9;Admin by default;4.25249981880188
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb;12;Hard-coded secret;4.25249981880188
chef-boneyard_qa-chef-server-cluster-attributes-default.rb;3;Hard-coded secret;4.331875801086426
cookbooks_hw-nginx-recipes-commons_dir.rb;0;none;6.653895854949951
cookbooks_ic-cloud_utils-cookbooks-hadoop_cluster-recipes-default.rb;0;none;2.9369022846221924
cookbooks_ic-cloud_utils-cookbooks-redis-recipes-install_from_package.rb;0;none;4.888681888580322
cookbooks_ic-elasticsearch-cookbooks-install_from-definitions-osx_application.rb;10;Admin by default;3.5466361045837402
cookbooks_ic-elasticsearch-cookbooks-install_from-definitions-osx_application.rb;21;Admin by default;3.5466361045837402
cookbooks_ic-elasticsearch-cookbooks-install_from-definitions-osx_application.rb;30;Admin by default;3.5466361045837402
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb;30;Admin by default;6.056660413742065
cookbooks_ic-ganglia-cookbooks-hadoop_cluster-example-clusters-science.rb;0;none;7.632840871810913
