PATH;LINE;SMELL;TIME
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;75;Admin by default;5.025569200515747
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;101;Admin by default;5.025569200515747
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;93;Suspicious comment;5.025569200515747
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;112;Suspicious comment;5.025569200515747
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;117;Missing Default in Case Statement;5.025569200515747
AYCHIT_Asf-chef-cookbooks-rsnapshot-resources-script.rb;0;none;2.964679002761841
binary-com_chef-third-party-cookbooks-cron-attributes-default.rb;0;none;6.623772859573364
binary-com_chef-third-party-cookbooks-datadog-recipes-network.rb;0;none;5.103734016418457
binary-com_chef-third-party-cookbooks-datadog-recipes-openmetrics.rb;0;none;4.6371400356292725
binary-com_chef-third-party-cookbooks-poise-files-halite_gem-poise-subcontext-resource_collection.rb;0;none;4.335457801818848
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb;9;Admin by default;3.2907378673553467
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb;12;Hard-coded secret;3.2907378673553467
chef-boneyard_qa-chef-server-cluster-attributes-default.rb;3;Hard-coded secret;8.032861948013306
cookbooks_hw-nginx-recipes-commons_dir.rb;0;none;6.276639938354492
cookbooks_ic-cloud_utils-cookbooks-hadoop_cluster-recipes-default.rb;0;none;2.8601317405700684
cookbooks_ic-cloud_utils-cookbooks-redis-recipes-install_from_package.rb;0;none;8.04839301109314
cookbooks_ic-elasticsearch-cookbooks-install_from-definitions-osx_application.rb;0;none;3.4557719230651855
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb;30;Admin by default;5.428929805755615
cookbooks_ic-ganglia-cookbooks-hadoop_cluster-example-clusters-science.rb;0;none;5.873511075973511
cookbooks_ic-hadoop_cluster-cookbooks-hbase-recipes-stargate.rb;0;none;3.8997809886932373
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb;25;Admin by default;4.82436490058899
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb;26;Admin by default;4.82436490058899
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb;47;Admin by default;4.82436490058899
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb;135;Admin by default;4.82436490058899
cookbooks_ic-hadoop_cluster-roles-cassandra_client.rb;0;none;2.303370952606201
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-agent.rb;0;none;3.87462091445923
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb;25;Admin by default;8.823541641235352
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb;26;Admin by default;8.823541641235352
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb;47;Admin by default;8.823541641235352
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb;129;Use of weak cryptography algorithms;8.823541641235352
cookbooks_ic-motd-roles-elasticsearch_datanode.rb;0;none;2.391314744949341
cookbooks_ic-nodejs-cookbooks-hbase-recipes-config_files.rb;49;Suspicious comment;3.4740099906921387
cookbooks_ic-package_set-cookbooks-rvm-providers-global_gem.rb;91;Admin by default;3.521742105484009
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb;34;Admin by default;6.405570030212402
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb;35;Empty password;6.405570030212402
