PATH;LINE;SMELL;TIME
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;75;Admin by default;6.821013927459717
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;101;Admin by default;6.821013927459717
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;93;Suspicious comment;6.821013927459717
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;112;Suspicious comment;6.821013927459717
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;117;Missing Default in Case Statement;6.821013927459717
AYCHIT_Asf-chef-cookbooks-rsnapshot-resources-script.rb;0;none;2.542623996734619
binary-com_chef-third-party-cookbooks-cron-attributes-default.rb;0;none;4.503249168395996
binary-com_chef-third-party-cookbooks-datadog-recipes-network.rb;0;none;5.525425910949707
binary-com_chef-third-party-cookbooks-datadog-recipes-openmetrics.rb;0;none;3.40844988822937
binary-com_chef-third-party-cookbooks-poise-files-halite_gem-poise-subcontext-resource_collection.rb;0;none;4.27932071685791
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb;9;Admin by default;4.6204328536987305
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb;12;Hard-coded secret;4.6204328536987305
chef-boneyard_qa-chef-server-cluster-attributes-default.rb;3;Hard-coded secret;5.506577014923096
cookbooks_hw-nginx-recipes-commons_dir.rb;0;none;5.484302759170532
cookbooks_ic-cloud_utils-cookbooks-hadoop_cluster-recipes-default.rb;0;none;3.2580509185791016
cookbooks_ic-cloud_utils-cookbooks-redis-recipes-install_from_package.rb;0;none;3.655522108078003
cookbooks_ic-elasticsearch-cookbooks-install_from-definitions-osx_application.rb;0;none;3.5277302265167236
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb;30;Admin by default;5.628069162368774
cookbooks_ic-ganglia-cookbooks-hadoop_cluster-example-clusters-science.rb;0;none;6.043384790420532
cookbooks_ic-hadoop_cluster-cookbooks-hbase-recipes-stargate.rb;0;none;6.522112131118774
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb;25;Admin by default;6.643178939819336
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb;26;Admin by default;6.643178939819336
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb;47;Admin by default;6.643178939819336
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb;135;Admin by default;6.643178939819336
cookbooks_ic-hadoop_cluster-roles-cassandra_client.rb;0;none;2.4367079734802246
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-agent.rb;0;none;6.561016082763672
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb;25;Admin by default;5.278141975402832
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb;26;Admin by default;5.278141975402832
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb;47;Admin by default;5.278141975402832
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb;129;Use of weak cryptography algorithms;5.278141975402832
cookbooks_ic-motd-roles-elasticsearch_datanode.rb;0;none;1.9689610004425049
cookbooks_ic-nodejs-cookbooks-hbase-recipes-config_files.rb;49;Suspicious comment;3.0576388835906982
cookbooks_ic-package_set-cookbooks-rvm-providers-global_gem.rb;91;Admin by default;4.2201759815216064
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb;34;Admin by default;8.381887912750244
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb;35;Empty password;8.381887912750244
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb;37;Empty password;8.381887912750244
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb;51;Hard-coded secret;8.381887912750244
cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb;52;Hard-coded secret;8.381887912750244
cookbooks_ic-snappy-roles-statsd_server.rb;0;none;2.5542922019958496
cookbooks_ic-tuning-cookbooks-ganglia-recipes-default.rb;0;none;5.23037576675415
cookbooks_ic-tuning-cookbooks-zabbix-libraries-zabbix_hosts_and_templates.rb;11;Missing Default in Case Statement;4.991326808929443
cookbooks_ic-tuning-cookbooks-zabbix-libraries-zabbix_hosts_and_templates.rb;28;Missing Default in Case Statement;4.991326808929443
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb;19;Unrestricted IP Address;2.8945579528808594
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb;20;Unrestricted IP Address;2.8945579528808594
cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb;21;Unrestricted IP Address;2.8945579528808594
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb;35;Empty password;3.9382500648498535
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb;29;Unrestricted IP Address;3.9382500648498535
cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb;20;Suspicious comment;3.9382500648498535
cookbooks_ic-volumes_ebs-cookbooks-resque-attributes-default.rb;24;Unrestricted IP Address;4.347718238830566
cookbooks_ic-volumes_ebs-cookbooks-zabbix-resources-user.rb;0;none;2.9114670753479004
cookbooks_ic-volumes-cookbooks-silverware-libraries-dump_aspects.rb;0;none;4.879946947097778
cookbooks_ic-volumes-cookbooks-strongswan-recipes-routing.rb;22;Suspicious comment;2.6388683319091797
