PATH;LINE;SMELL;TIME
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;75;Admin by default;5.682149887084961
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;101;Admin by default;5.682149887084961
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;93;Suspicious comment;5.682149887084961
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;112;Suspicious comment;5.682149887084961
aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb;117;Missing Default in Case Statement;5.682149887084961
AYCHIT_Asf-chef-cookbooks-rsnapshot-resources-script.rb;0;none;1.5567047595977783
binary-com_chef-third-party-cookbooks-cron-attributes-default.rb;0;none;3.3114278316497803
binary-com_chef-third-party-cookbooks-datadog-recipes-network.rb;0;none;4.822997093200684
binary-com_chef-third-party-cookbooks-datadog-recipes-openmetrics.rb;0;none;4.2048659324646
binary-com_chef-third-party-cookbooks-poise-files-halite_gem-poise-subcontext-resource_collection.rb;0;none;17.543796062469482
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb;9;Admin by default;3.192631721496582
chef_mixlib-install-acceptance-windows-server-2012r2-fips-.acceptance-acceptance-cookbook-recipes-verify.rb;12;Hard-coded secret;3.192631721496582
chef-boneyard_qa-chef-server-cluster-attributes-default.rb;3;Hard-coded secret;5.5126121044158936
cookbooks_hw-nginx-recipes-commons_dir.rb;0;none;5.303165912628174
cookbooks_ic-cloud_utils-cookbooks-hadoop_cluster-recipes-default.rb;0;none;3.0493533611297607
cookbooks_ic-cloud_utils-cookbooks-redis-recipes-install_from_package.rb;0;none;3.069014072418213
cookbooks_ic-elasticsearch-cookbooks-install_from-definitions-osx_application.rb;0;none;3.0709779262542725
cookbooks_ic-ganglia-cookbooks-elasticsearch-recipes-plugins.rb;30;Admin by default;5.562188148498535
cookbooks_ic-ganglia-cookbooks-hadoop_cluster-example-clusters-science.rb;0;none;6.807567834854126
cookbooks_ic-hadoop_cluster-cookbooks-hbase-recipes-stargate.rb;0;none;4.923400163650513
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb;25;Admin by default;7.621747970581055
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb;26;Admin by default;7.621747970581055
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb;47;Admin by default;7.621747970581055
cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb;135;Admin by default;7.621747970581055
cookbooks_ic-hadoop_cluster-roles-cassandra_client.rb;0;none;1.495495080947876
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-agent.rb;0;none;2.302292823791504
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb;25;Admin by default;6.113337993621826
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb;26;Admin by default;6.113337993621826
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb;47;Admin by default;6.113337993621826
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb;129;Use of weak cryptography algorithms;6.113337993621826
cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb;32;Missing Default in Case Statement;6.113337993621826
cookbooks_ic-motd-roles-elasticsearch_datanode.rb;0;none;2.779772996902466
cookbooks_ic-nodejs-cookbooks-hbase-recipes-config_files.rb;49;Suspicious comment;6.849514007568359
