PATH,LINE_ann1,SMELL_ann1,LINE_ann2,SMELL_ann2,LINE_ann3,SMELL_ann3,LINE_ann4,SMELL_ann4,LINE_ann5,SMELL_ann5
AYCHIT_Asf-chef-cookbooks-rsnapshot-resources-script.rb,0,none,0,none,0,none,0,none,0,none
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,130,Admin by default,130,Admin by default,130,Admin by default,130,Admin by default,130,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,152,Admin by default,152,Admin by default,none,none,none,none,none,none
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,none,none,none,none,153,Admin by default,153,Admin by default,153,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,160,Admin by default,160,Admin by default,160,Admin by default,160,Admin by default,160,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,161,Admin by default,161,Admin by default,161,Admin by default,161,Admin by default,161,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,162,Admin by default,162,Admin by default,162,Admin by default,162,Admin by default,162,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,163,Admin by default,none,none,163,Admin by default,163,Admin by default,163,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,none,none,164,Admin by default,none,none,none,none,none,none
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,174,Admin by default,174,Admin by default,174,Admin by default,174,Admin by default,174,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,184,Admin by default,184,Admin by default,184,Admin by default,184,Admin by default,184,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,424,Missing Default in Case Statement,424,Missing Default in Case Statement,424,Missing Default in Case Statement,424,Missing Default in Case Statement,424,Missing Default in Case Statement
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,22,Admin by default,22,Admin by default,22,Admin by default,22,Admin by default,22,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,24,Hard-coded secret,24,Hard-coded secret,24,Hard-coded secret,none,none,24,Hard-coded secret
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,26,Hard-coded secret,26,Hard-coded secret,26,Hard-coded secret,none,none,26,Hard-coded secret
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,42,Admin by default,42,Admin by default,42,Admin by default,42,Admin by default,42,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,none,none,43,Hard-coded secret,none,none,none,none,43,Hard-coded secret
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,none,none,44,Hard-coded secret,none,none,none,none,44,Hard-coded secret
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,none,none,45,Hard-coded secret,none,none,none,none,45,Hard-coded secret
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,none,none,none,none,none,none,46,Hard-coded secret,46,Hard-coded secret
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,50,Admin by default,50,Admin by default,50,Admin by default,50,Admin by default,50,Admin by default
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,99,Admin by default,none,none,none,none,99,Admin by default,99,Hard-coded secret
DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,126,Admin by default,126,Admin by default,126,Admin by default,126,Admin by default,126,Admin by default
EEDARIT_opsworks-cookbooks-iis-resources-root.rb,0,none,0,none,0,none,0,none,0,none
EEDARIT_opsworks-cookbooks-windows-providers-feature_powershell.rb,0,none,0,none,0,none,0,none,0,none
Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,11,Admin by default,11,Admin by default,11,Admin by default,11,Admin by default,11,Admin by default
Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,none,none,none,none,none,none,14,No integrity check,none,none
Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,15,Admin by default,15,Admin by default,15,Admin by default,15,Admin by default,15,Admin by default
Nikhil424_chef-repo-cookbooks-windows-resources-pagefile.rb,0,none,0,none,0,none,0,none,0,none
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,10,Missing Default in Case Statement,10,Missing Default in Case Statement,10,Missing Default in Case Statement,10,Missing Default in Case Statement,10,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,12,Missing Default in Case Statement,12,Missing Default in Case Statement,12,Missing Default in Case Statement,12,Missing Default in Case Statement,12,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,14,Use of HTTP without SSL/TLS,14,Use of HTTP without SSL/TLS,14,Use of HTTP without SSL/TLS,14,Use of HTTP without SSL/TLS,14,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,16,Use of HTTP without SSL/TLS,16,Use of HTTP without SSL/TLS,16,Use of HTTP without SSL/TLS,16,Use of HTTP without SSL/TLS,16,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,18,Use of HTTP without SSL/TLS,18,Use of HTTP without SSL/TLS,18,Use of HTTP without SSL/TLS,18,Use of HTTP without SSL/TLS,18,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,20,Use of HTTP without SSL/TLS,20,Use of HTTP without SSL/TLS,20,Use of HTTP without SSL/TLS,20,Use of HTTP without SSL/TLS,20,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,23,Missing Default in Case Statement,23,Missing Default in Case Statement,23,Missing Default in Case Statement,23,Missing Default in Case Statement,23,Missing Default in Case Statement
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,26,Use of HTTP without SSL/TLS,26,Use of HTTP without SSL/TLS,26,Use of HTTP without SSL/TLS,26,Use of HTTP without SSL/TLS,26,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,28,Use of HTTP without SSL/TLS,28,Use of HTTP without SSL/TLS,28,Use of HTTP without SSL/TLS,28,Use of HTTP without SSL/TLS,28,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,30,Use of HTTP without SSL/TLS,30,Use of HTTP without SSL/TLS,30,Use of HTTP without SSL/TLS,30,Use of HTTP without SSL/TLS,30,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,33,Use of HTTP without SSL/TLS,33,Use of HTTP without SSL/TLS,33,Use of HTTP without SSL/TLS,33,Use of HTTP without SSL/TLS,33,Use of HTTP without SSL/TLS
Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,36,Use of HTTP without SSL/TLS,36,Use of HTTP without SSL/TLS,36,Use of HTTP without SSL/TLS,36,Use of HTTP without SSL/TLS,36,Use of HTTP without SSL/TLS
Soluciones_ey-cloud-recipes-cookbooks-solr-attributes-solr.rb,0,none,0,none,0,none,0,none,0,none
TaxiOS_zabbix-recipes-server_source.rb,14,Missing Default in Case Statement,14,Missing Default in Case Statement,14,Missing Default in Case Statement,14,Missing Default in Case Statement,14,Missing Default in Case Statement
TaxiOS_zabbix-recipes-server_source.rb,17,Missing Default in Case Statement,17,Missing Default in Case Statement,17,Missing Default in Case Statement,17,Missing Default in Case Statement,17,Missing Default in Case Statement
