PATH;LINE;SMELL;TIME
alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp;0;none;3.938429832458496
alphagov@govuk-puppet-modules-govuk_ci-manifests-agent-redis.pp;0;none;2.587800979614258
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp;1;Suspicious comment;4.163466930389404
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-scrape_icinga_alerts_for_dashboard_metrics.pp;0;none;3.333173036575317
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-smokey.pp;0;none;3.970254898071289
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp;48;Empty password;4.452477931976318
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp;84;Unrestricted IP Address;4.452477931976318
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp;23;Use of weak cryptography algorithms;4.470674991607666
alphagov@govuk-puppet-modules-govuk_rabbitmq-manifests-monitoring.pp;1;Suspicious comment;4.256686687469482
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp;0;none;3.409122943878174
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp;29;Unrestricted IP Address;3.980669021606445
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp;1;Suspicious comment;3.980669021606445
alphagov@govuk-puppet-modules-icinga-manifests-init.pp;1;Suspicious comment;3.2419021129608154
alphagov@govuk-puppet-modules-users-manifests-felisialoukou.pp;0;none;3.707097053527832
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp;7;Admin by default;4.761028051376343
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-mod-pagespeed.pp;0;none;4.479079008102417
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-ssl.pp;0;none;6.717360734939575
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;32;Missing Default in Case Statement;4.483073711395264
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;42;Missing Default in Case Statement;4.483073711395264
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;44;Missing Default in Case Statement;4.483073711395264
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp;0;none;3.7512898445129395
camptocamp@puppet-python-manifests-pip-couchdb.pp;0;none;6.351387023925781
cargomedia@puppet-packages-modules-backup-manifests-agent.pp;21;Admin by default;5.373473882675171
cargomedia@puppet-packages-modules-backup-manifests-agent.pp;26;Admin by default;5.373473882675171
cargomedia@puppet-packages-modules-backup-manifests-agent.pp;33;Admin by default;5.373473882675171
cargomedia@puppet-packages-modules-capistrano-manifests-init.pp;0;none;2.631883144378662
cargomedia@puppet-packages-modules-mysql-manifests-server-instance.pp;1;Empty password;3.1160478591918945
cargomedia@puppet-packages-modules-ulimit-manifests-entry.pp;0;none;3.308265924453735
ceph@puppet-ceph-manifests-mds.pp;0;none;2.3974008560180664
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp;9;Hard-coded secret;3.6765949726104736
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp;14;Hard-coded secret;3.6765949726104736
duritong@puppet-shorewall-manifests-dnat_rule.pp;0;none;5.615221977233887
fuel-infra@puppet-manifests-modules-obs_server-manifests-folders.pp;0;none;5.03241515159607
hubspotdevops@puppet-nexus-manifests-params.pp;36;Unrestricted IP Address;3.3618030548095703
Icinga@puppet-icinga2-examples-hostgroup.pp;0;none;2.89768385887146
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp;74;Unrestricted IP Address;5.25736403465271
mattheath@puppet-php-manifests-5_3_11.pp;0;none;4.960723876953125
mattheath@puppet-php-manifests-fpm-5_3_15.pp;0;none;4.874099254608154
mattheath@puppet-php-manifests-version.pp;122;Suspicious comment;4.397597789764404
mayflower@wasted-site-component-manifests-mongodb.pp;0;none;3.4820008277893066
mikeedwards83@Glass.Mapper-Archived-Glass.Mapper.Umb.CastleWindsor-App_Start-GlassMapperUmb.cs.pp;0;none;4.6071138381958
Mirantis@solar-resources-cinder_puppet-actions-run.pp;0;none;4.5619988441467285
norcams@himlar-profile-manifests-highavailability-loadbalancing-haproxy-list.pp;0;none;4.3163111209869385
norcams@himlar-profile-manifests-storage-ceph-zonegroup.pp;0;none;4.427678108215332
openstack@fuel-library-deployment-puppet-cluster-manifests-conntrackd_ocf.pp;0;none;24.693557024002075
openstack@fuel-library-deployment-puppet-openstack_tasks-examples-heat-cfn_keystone.pp;0;none;2.720808982849121
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp;9;Admin by default;5.267755031585693
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-plugins-plugins_rsync.pp;0;none;4.503607988357544
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp;34;Use of weak cryptography algorithms;4.275480031967163
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp;35;Use of weak cryptography algorithms;4.275480031967163
openstack@fuel-library-deployment-puppet-tweaks-manifests-ubuntu_service_override.pp;0;none;5.038999080657959
openstack@fuel-octane-deployment-puppet-octane_tasks-modular-mysqldump_restore.pp;0;none;2.8775007724761963
openstack@puppet-monasca-manifests-virtualenv-instance.pp;0;none;4.127488136291504
openstack@puppet-neutron-manifests-params.pp;0;none;4.590335130691528
openstack@puppet-neutron-manifests-server-placement.pp;0;none;4.069853067398071
openstack@puppet-openstack-integration-manifests-designate.pp;11;Hard-coded secret;5.586726903915405
openstack@puppet-openstack-integration-manifests-designate.pp;16;Hard-coded secret;5.586726903915405
openstack@puppet-openstack-integration-manifests-designate.pp;27;Hard-coded secret;5.586726903915405
openstack@puppet-openstack-integration-manifests-designate.pp;32;Hard-coded secret;5.586726903915405
openstack@puppet-openstack-integration-manifests-designate.pp;39;Hard-coded secret;5.586726903915405
openstack@puppet-openstack-integration-manifests-designate.pp;45;Hard-coded secret;5.586726903915405
openstack@puppet-openstack-integration-manifests-designate.pp;91;Hard-coded secret;5.586726903915405
openstack@puppet-openstack-integration-manifests-designate.pp;37;Suspicious comment;5.586726903915405
openstack@puppet-openstack-integration-manifests-designate.pp;100;Suspicious comment;5.586726903915405
openstack@puppet-openstack-integration-manifests-designate.pp;40;Use of HTTP without SSL/TLS;5.586726903915405
openstack@puppet-openstack-integration-manifests-designate.pp;41;Use of HTTP without SSL/TLS;5.586726903915405
openstack@puppet-openstack-integration-manifests-designate.pp;42;Use of HTTP without SSL/TLS;5.586726903915405
openstack@puppet-openstack-integration-manifests-designate.pp;55;Use of HTTP without SSL/TLS;5.586726903915405
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp;36;Admin by default;4.758137941360474
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp;44;Admin by default;4.758137941360474
openstack@puppet-tripleo-manifests-profile-base-manila-api.pp;0;none;6.547773122787476
openstack@puppet-tripleo-manifests-profile-base-manila-scheduler.pp;0;none;2.562976121902466
openstack@puppet-tripleo-manifests-profile-base-neutron-wrappers-dibbler_client.pp;0;none;5.953983783721924
openstack@puppet-tripleo-manifests-stunnel-service_proxy.pp;0;none;3.897005796432495
poetic@our-boxen-manifests-site.pp;0;none;4.3369667530059814
poetic@our-boxen-modules-people-manifests-bobobhai.pp;0;none;4.835907936096191
puphpet@puppet-puphpet-manifests-nginx-params.pp;25;Use of weak cryptography algorithms;5.801504135131836
puphpet@puppet-puphpet-manifests-nginx-params.pp;36;Missing Default in Case Statement;5.801504135131836
puphpet@puppet-puphpet-manifests-nginx-params.pp;41;Missing Default in Case Statement;5.801504135131836
puppetlabs@pltraining-userprefs-examples-npp.pp;0;none;3.134105920791626
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp;0;none;4.833057880401611
puppetlabs@puppetlabs-mysql-manifests-server-config.pp;0;none;6.115480899810791
purpleidea@puppet-gluster-manifests-simple.pp;26;Empty password;4.098982810974121
purpleidea@puppet-gluster-manifests-simple.pp;98;Empty password;4.098982810974121
purpleidea@puppet-gluster-manifests-simple.pp;22;Suspicious comment;4.098982810974121
purpleidea@puppet-gluster-manifests-simple.pp;81;Suspicious comment;4.098982810974121
purpleidea@puppet-gluster-manifests-simple.pp;145;Suspicious comment;4.098982810974121
quintel@boxen-modules-nodejs-manifests-v0_4.pp;0;none;6.842861175537109
quintel@boxen-modules-osx-manifests-recovery_message.pp;22;Admin by default;6.274729013442993
quintel@boxen-modules-osx-manifests-recovery_message.pp;29;Admin by default;6.274729013442993
quintel@boxen-modules-osx-manifests-recovery_message.pp;48;Admin by default;6.274729013442993
quintel@boxen-modules-osx-manifests-recovery_message.pp;67;Admin by default;6.274729013442993
redhat-openstack@puppet-galera-manifests-server.pp;98;Admin by default;6.435958862304688
redhat-openstack@puppet-galera-manifests-server.pp;99;Empty password;6.435958862304688
redhat-openstack@puppet-galera-manifests-server.pp;106;Unrestricted IP Address;6.435958862304688
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp;32;Admin by default;6.442254066467285
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp;42;Admin by default;6.442254066467285
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp;3;Empty password;6.442254066467285
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp;4;Empty password;6.442254066467285
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp;6;Use of weak cryptography algorithms;3.0351288318634033
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp;7;Use of weak cryptography algorithms;3.0351288318634033
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp;44;Admin by default;5.9528329372406
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp;111;Unrestricted IP Address;5.9528329372406
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp;0;none;5.171638011932373
SecGen@SecGen-modules-vulnerabilities-unix-access_control_misconfigurations-uid_less_root-uid_less_root.pp;2;Admin by default;2.416769027709961
StackStorm@st2workroom-modules-profile-manifests-ec2.pp;0;none;2.852234125137329
thiagoarrais@gtk2hs-gtk-Graphics-UI-Gtk-Gdk-PixbufData.hs.pp;0;none;4.680958271026611
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp;31;Missing Default in Case Statement;3.443166971206665
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp;35;Missing Default in Case Statement;3.443166971206665
voxpupuli@puppet-nginx-examples-server_ssl.pp;0;none;3.2061262130737305
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp;2;Hard-coded secret;3.2096378803253174
voxpupuli@puppet-rabbitmq-examples-server.pp;0;none;4.358373165130615
voxpupuli@puppet-rundeck-manifests-config-global-framework.pp;28;Use of HTTP without SSL/TLS;3.83535099029541
wesleytodd@YeoPress-app-templates-puppet-modules-mysql-manifests-ruby.pp;0;none;3.574857234954834
wikimedia@mediawiki-vagrant-puppet-modules-ocg-manifests-init.pp;0;none;5.896423816680908
wikimedia@mediawiki-vagrant-puppet-modules-role-manifests-notebook.pp;0;none;2.620419979095459
wikimedia@mediawiki-vagrant-puppet-modules-xhprofgui-manifests-init.pp;0;none;3.709191083908081
Yelp@puppet-uchiwa-manifests-repo-yum.pp;21;No integrity check;4.164172887802124
