PATH;LINE;SMELL;TIME
alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp;0;none;3.6975209329223633
alphagov@govuk-puppet-modules-govuk_ci-manifests-agent-redis.pp;0;none;4.567448736511253
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp;1;Suspicious comment;5.483701522513171
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-scrape_icinga_alerts_for_dashboard_metrics.pp;0;none;5.411132157138991
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-smokey.pp;0;none;2.9991123578311695
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp;48;Empty password;6.777810124165666
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp;84;Unrestricted IP Address;5.449403016460214
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp;23;Use of weak cryptography algorithms;5.001270151564173
alphagov@govuk-puppet-modules-govuk_rabbitmq-manifests-monitoring.pp;1;Suspicious comment;5.1442679911336176
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp;0;none;3.980144455572173
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp;29;Unrestricted IP Address;5.875374724577345
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp;1;Suspicious comment;5.975307062184056
alphagov@govuk-puppet-modules-icinga-manifests-init.pp;1;Suspicious comment;3.1134240054719201
alphagov@govuk-puppet-modules-users-manifests-felisialoukou.pp;0;none;4.943165252944539
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp;7;Admin by default;4.916403515174003
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-mod-pagespeed.pp;0;none;4.273796147308042
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-ssl.pp;0;none;3.4355706016661956
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;29;Missing Default in Case Statement;6.030747026347303
