PATH;LINE;SMELL;TIME
alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp;0;none;3.984238492456983
alphagov@govuk-puppet-modules-govuk_ci-manifests-agent-redis.pp;0;none;3.514258779688009
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp;1;Suspicious comment;4.138963430404669
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-scrape_icinga_alerts_for_dashboard_metrics.pp;0;none;3.815628581020862
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-smokey.pp;0;none;2.981387121304512
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp;48;Empty password;4.452477931976318
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp;84;Unrestricted IP Address;4.452477931976318
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp;23;Use of weak cryptography algorithms;4.676687176669160
alphagov@govuk-puppet-modules-govuk_rabbitmq-manifests-monitoring.pp;1;Suspicious comment;4.334808832914933
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp;0;none;3.515123872578077
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp;29;Unrestricted IP Address;4.095656952187356
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp;1;Suspicious comment;4.095656952187356
alphagov@govuk-puppet-modules-icinga-manifests-init.pp;1;Suspicious comment;3.6416055054611277
alphagov@govuk-puppet-modules-users-manifests-felisialoukou.pp;0;none;3.707053278532097
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp;7;Admin by default;4.610273431376805
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-mod-pagespeed.pp;0;none;4.562072001435740
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-ssl.pp;0;none;5.707349579351736
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;32;Missing Default in Case Statement;4.293113952640737
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;42;Missing Default in Case Statement;4.293113952640737
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;44;Missing Default in Case Statement;4.293113952640737
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp;0;none;3.7593951289844512
camptocamp@puppet-python-manifests-pip-couchdb.pp;0;none;4.351381870239257
cargomedia@puppet-packages-modules-backup-manifests-agent.pp;21;Admin by default;5.251473542565223
cargomedia@puppet-packages-modules-backup-manifests-agent.pp;26;Admin by default;5.251473542565223
cargomedia@puppet-packages-modules-backup-manifests-agent.pp;33;Admin by default;5.251473542565223
cargomedia@puppet-packages-modules-capistrano-manifests-init.pp;0;none;3.316883144662378
cargomedia@puppet-packages-modules-mysql-manifests-server-instance.pp;1;Empty password;3.0471046599451918
cargomedia@puppet-packages-modules-ulimit-manifests-entry.pp;0;none;3.265923735445218
ceph@puppet-ceph-manifests-mds.pp;0;none;2.5467073377664055
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp;9;Hard-coded secret;3.3735733994723104
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp;14;Hard-coded secret;3.3735733994723104
duritong@puppet-shorewall-manifests-dnat_rule.pp;0;none;4.700672288156686
fuel-infra@puppet-manifests-modules-obs_server-manifests-folders.pp;0;none;6.41515915607132
hubspotdevops@puppet-nexus-manifests-params.pp;36;Unrestricted IP Address;3.3302230457038095
Icinga@puppet-icinga2-examples-hostgroup.pp;0;none;2.96580574778077
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp;74;Unrestricted IP Address;5.73625403427165
mattheath@puppet-php-manifests-5_3_11.pp;0;none;3.990625673353465
mattheath@puppet-php-manifests-fpm-5_3_15.pp;0;none;4.784154099608254
mattheath@puppet-php-manifests-version.pp;122;Suspicious comment;4.229825539764929
mayflower@wasted-site-component-manifests-mongodb.pp;0;none;3.334501706677893
mikeedwards83@Glass.Mapper-Archived-Glass.Mapper.Umb.CastleWindsor-App_Start-GlassMapperUmb.cs.pp;0;none;4.066071239587381
Mirantis@solar-resources-cinder_puppet-actions-run.pp;0;none;4.5619988441467285
norcams@himlar-profile-manifests-highavailability-loadbalancing-haproxy-list.pp;0;none;4.3131611285098693
norcams@himlar-profile-manifests-storage-ceph-zonegroup.pp;0;none;4.205912545982081
openstack@fuel-library-deployment-puppet-cluster-manifests-conntrackd_ocf.pp;0;none;2.333538865101153
openstack@fuel-library-deployment-puppet-openstack_tasks-examples-heat-cfn_keystone.pp;0;none;2.664633378033258
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp;9;Admin by default;5.842577480622781
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-plugins-plugins_rsync.pp;0;none;4.006588875448835
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp;34;Use of weak cryptography algorithms;4.538174456348024
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp;35;Use of weak cryptography algorithms;4.538174456348024
openstack@fuel-library-deployment-puppet-tweaks-manifests-ubuntu_service_override.pp;0;none;4.875969570645964
openstack@fuel-octane-deployment-puppet-octane_tasks-modular-mysqldump_restore.pp;0;none;2.9535029963727461
openstack@puppet-monasca-manifests-virtualenv-instance.pp;0;none;4.271488131504629
openstack@puppet-neutron-manifests-params.pp;0;none;4.033552813065991
openstack@puppet-neutron-manifests-server-placement.pp;0;none;4.071069853398067
openstack@puppet-openstack-integration-manifests-designate.pp;11;Hard-coded secret;5.647556903405915
openstack@puppet-openstack-integration-manifests-designate.pp;16;Hard-coded secret;5.647556903405915
openstack@puppet-openstack-integration-manifests-designate.pp;27;Hard-coded secret;5.647556903405915
openstack@puppet-openstack-integration-manifests-designate.pp;32;Hard-coded secret;5.647556903405915
openstack@puppet-openstack-integration-manifests-designate.pp;39;Hard-coded secret;5.647556903405915
