PATH;LINE;SMELL;TIME
alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp;0;none;2.6342639923095703
alphagov@govuk-puppet-modules-govuk_ci-manifests-agent-redis.pp;0;none;4.939411878585815
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp;1;Suspicious comment;7.509355068206787
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-scrape_icinga_alerts_for_dashboard_metrics.pp;0;none;4.028763771057129
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-smokey.pp;0;none;3.3764688968658447
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp;48;Empty password;4.456661939620972
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp;84;Unrestricted IP Address;4.456661939620972
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp;23;Use of weak cryptography algorithms;4.173666000366211
alphagov@govuk-puppet-modules-govuk_rabbitmq-manifests-monitoring.pp;1;Suspicious comment;2.875875949859619
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp;0;none;3.8182451725006104
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp;29;Unrestricted IP Address;5.48000717163086
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp;1;Suspicious comment;5.48000717163086
alphagov@govuk-puppet-modules-icinga-manifests-init.pp;1;Suspicious comment;4.812829971313477
alphagov@govuk-puppet-modules-users-manifests-felisialoukou.pp;0;none;4.777891159057617
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp;7;Admin by default;5.0585150718688965
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-mod-pagespeed.pp;0;none;4.527442932128906
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-ssl.pp;0;none;4.47504997253418
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;74;Hard-coded secret;5.35676383972168
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;17;Missing Default in Case Statement;5.35676383972168
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;32;Missing Default in Case Statement;5.35676383972168
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;42;Missing Default in Case Statement;5.35676383972168
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp;0;none;4.8077051639556885
