PATH,LINE,SMELL,CATEGORY
Icinga@puppet-icinga2-examples-hostgroup.pp,0,none,none
Mirantis@solar-resources-cinder_puppet-actions-run.pp,0,none,none
alphagov@govuk-puppet-modules-govuk_ci-manifests-agent-redis.pp,0,none,none
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-scrape_icinga_alerts_for_dashboard_metrics.pp,0,none,none
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-smokey.pp,0,none,none
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp,0,none,none
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-mod-pagespeed.pp,0,none,none
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-ssl.pp,0,none,none
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp,0,none,none
camptocamp@puppet-python-manifests-pip-couchdb.pp,0,none,none
cargomedia@puppet-packages-modules-capistrano-manifests-init.pp,0,none,none
cargomedia@puppet-packages-modules-ulimit-manifests-entry.pp,0,none,none
ceph@puppet-ceph-manifests-mds.pp,0,none,none
duritong@puppet-shorewall-manifests-dnat_rule.pp,0,none,none
fuel-infra@puppet-manifests-modules-obs_server-manifests-folders.pp,0,none,none
mattheath@puppet-php-manifests-5_3_11.pp,0,none,none
mattheath@puppet-php-manifests-fpm-5_3_15.pp,0,none,none
mayflower@wasted-site-component-manifests-mongodb.pp,0,none,none
mikeedwards83@Glass.Mapper-Archived-Glass.Mapper.Umb.CastleWindsor-App_Start-GlassMapperUmb.cs.pp,0,none,none
norcams@himlar-profile-manifests-highavailability-loadbalancing-haproxy-list.pp,0,none,none
norcams@himlar-profile-manifests-storage-ceph-zonegroup.pp,0,none,none
openstack@fuel-library-deployment-puppet-cluster-manifests-conntrackd_ocf.pp,0,none,none
openstack@fuel-library-deployment-puppet-openstack_tasks-examples-heat-cfn_keystone.pp,0,none,none
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-plugins-plugins_rsync.pp,0,none,none
openstack@fuel-library-deployment-puppet-tweaks-manifests-ubuntu_service_override.pp,0,none,none
openstack@fuel-octane-deployment-puppet-octane_tasks-modular-mysqldump_restore.pp,0,none,none
openstack@puppet-monasca-manifests-virtualenv-instance.pp,0,none,none
openstack@puppet-neutron-manifests-params.pp,0,none,none
openstack@puppet-neutron-manifests-server-placement.pp,0,none,none
openstack@puppet-tripleo-manifests-profile-base-manila-api.pp,0,none,none
openstack@puppet-tripleo-manifests-profile-base-manila-scheduler.pp,0,none,none
openstack@puppet-tripleo-manifests-profile-base-neutron-wrappers-dibbler_client.pp,0,none,none
openstack@puppet-tripleo-manifests-stunnel-service_proxy.pp,0,none,none
poetic@our-boxen-manifests-site.pp,0,none,none
poetic@our-boxen-modules-people-manifests-bobobhai.pp,0,none,none
puppetlabs@pltraining-userprefs-examples-npp.pp,0,none,none
puppetlabs@puppetlabs-mysql-manifests-server-config.pp,0,none,none
quintel@boxen-modules-nodejs-manifests-v0_4.pp,0,none,none
thiagoarrais@gtk2hs-gtk-Graphics-UI-Gtk-Gdk-PixbufData.hs.pp,0,none,none
voxpupuli@puppet-nginx-examples-server_ssl.pp,0,none,none
voxpupuli@puppet-rabbitmq-examples-server.pp,0,none,none
wesleytodd@YeoPress-app-templates-puppet-modules-mysql-manifests-ruby.pp,0,none,none
wikimedia@mediawiki-vagrant-puppet-modules-ocg-manifests-init.pp,0,none,none
wikimedia@mediawiki-vagrant-puppet-modules-role-manifests-notebook.pp,0,none,none
wikimedia@mediawiki-vagrant-puppet-modules-xhprofgui-manifests-init.pp,0,none,none
cargomedia@puppet-packages-modules-mysql-manifests-server-instance.pp,1,Empty password,Empty password
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,1,Suspicious comment,Suspicious comment
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,1,Suspicious comment,Suspicious comment
alphagov@govuk-puppet-modules-govuk_rabbitmq-manifests-monitoring.pp,1,Suspicious comment,Suspicious comment
alphagov@govuk-puppet-modules-icinga-manifests-init.pp,1,Suspicious comment,Suspicious comment
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,2,Hard-coded secret,Hard-coded secret
SecGen@SecGen-modules-vulnerabilities-unix-access_control_misconfigurations-uid_less_root-uid_less_root.pp,2,Admin by default,none
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,3,Empty password,none
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,4,Empty password,Empty password
alphagov@govuk-puppet-modules-users-manifests-felisialoukou.pp,5,none,Hard-coded secret
StackStorm@st2workroom-modules-profile-manifests-ec2.pp,5,Hard-coded secret,none
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp,6,Use of weak cryptography algorithms,none
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp,7,Admin by default,Admin by default
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp,7,Use of weak cryptography algorithms,none
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,9,Hard-coded secret,Hard-coded secret
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,9,Admin by default,none
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,9,Use of weak cryptography algorithms,none
