PATH;LINE;SMELL;TIME
alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp;0;none;3.8985109329223633
alphagov@govuk-puppet-modules-govuk_ci-manifests-agent-redis.pp;0;none;4.657748937606812
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp;1;Suspicious comment;5.997995853424072
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-scrape_icinga_alerts_for_dashboard_metrics.pp;0;none;4.268394947052002
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-smokey.pp;0;none;3.7828738689422607
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp;48;Empty password;7.899909019470215
alphagov@govuk-puppet-modules-govuk_mysql-manifests-server.pp;84;Unrestricted IP Address;7.899909019470215
alphagov@govuk-puppet-modules-govuk_postgresql-manifests-env_sync_user.pp;23;Use of weak cryptography algorithms;4.877380132675171
alphagov@govuk-puppet-modules-govuk_rabbitmq-manifests-monitoring.pp;1;Suspicious comment;3.4334988594055176
alphagov@govuk-puppet-modules-govuk_rbenv-manifests-all.pp;0;none;4.090054988861084
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp;29;Unrestricted IP Address;6.074296951293945
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp;1;Suspicious comment;6.074296951293945
alphagov@govuk-puppet-modules-icinga-manifests-init.pp;1;Suspicious comment;2.7645339965820312
alphagov@govuk-puppet-modules-users-manifests-felisialoukou.pp;0;none;5.610832929611206
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp;7;Admin by default;4.850847959518433
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-mod-pagespeed.pp;0;none;4.384685039520264
boxbilling@boxbilling-puphpet-puppet-modules-apache-manifests-ssl.pp;0;none;2.8799140453338623
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;29;Missing Default in Case Statement;5.833414793014526
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;42;Missing Default in Case Statement;5.833414793014526
boxbilling@boxbilling-puphpet-puppet-modules-puphpet-manifests-php-pecl.pp;32;Missing Default in Case Statement;5.833414793014526
boxbilling@boxbilling-puphpet-puppet-modules-yum-manifests-repo-jpackage6.pp;0;none;5.000349998474121
camptocamp@puppet-python-manifests-pip-couchdb.pp;0;none;4.548560857772827
cargomedia@puppet-packages-modules-backup-manifests-agent.pp;21;Admin by default;5.205091953277588
cargomedia@puppet-packages-modules-backup-manifests-agent.pp;26;Admin by default;5.205091953277588
cargomedia@puppet-packages-modules-backup-manifests-agent.pp;33;Admin by default;5.205091953277588
cargomedia@puppet-packages-modules-capistrano-manifests-init.pp;0;none;4.24374008178711
cargomedia@puppet-packages-modules-mysql-manifests-server-instance.pp;1;Empty password;3.699458122253418
cargomedia@puppet-packages-modules-ulimit-manifests-entry.pp;0;none;6.050721168518066
ceph@puppet-ceph-manifests-mds.pp;0;none;5.0185887813568115
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp;9;Hard-coded secret;3.7080440521240234
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp;14;Hard-coded secret;3.7080440521240234
duritong@puppet-shorewall-manifests-dnat_rule.pp;0;none;8.219573974609375
fuel-infra@puppet-manifests-modules-obs_server-manifests-folders.pp;0;none;5.865243911743164
hubspotdevops@puppet-nexus-manifests-params.pp;36;Unrestricted IP Address;4.383857250213623
