PATH,LINE_ann1,SMELL_ann1,LINE_ann2,SMELL_ann2,LINE_ann3,SMELL_ann3,LINE_ann4,SMELL_ann4,LINE_ann5,SMELL_ann5
Automattic@vip-quickstart-puppet-manifests-sections-mail.pp,7,Admin by default,7,Admin by default,7,Admin by default,7,Admin by default,7,Admin by default
Icinga@puppet-icinga2-examples-hostgroup.pp,0,none,0,none,0,none,0,none,0,none
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,none,none,none,none,none,none,63,Empty password,none,none
Juniper@contrail-puppet-contrail-environment-modules-contrail-manifests-collector-config.pp,74,Unrestricted IP Address,74,Unrestricted IP Address,74,Unrestricted IP Address,74,Unrestricted IP Address,74,Unrestricted IP Address
Mirantis@solar-resources-cinder_puppet-actions-run.pp,0,none,0,none,0,none,none,none,0,none
Mirantis@solar-resources-cinder_puppet-actions-run.pp,none,none,none,none,none,none,114,Use of weak cryptography algorithms,none,none
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,3,Empty password,3,Empty password,3,Empty password,3,Empty password,3,Empty password
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,4,Empty password,4,Empty password,4,Empty password,4,Empty password,4,Empty password
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,32,Admin by default,32,Admin by default,32,Admin by default,32,Admin by default,32,Admin by default
SecGen@SecGen-modules-services-unix-database-mysql-manifests-backup-xtrabackup.pp,42,Admin by default,42,Admin by default,42,Admin by default,42,Admin by default,42,Admin by default
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp,6,Use of weak cryptography algorithms,6,Use of weak cryptography algorithms,6,Use of weak cryptography algorithms,6,Use of weak cryptography algorithms,6,Use of weak cryptography algorithms
SecGen@SecGen-modules-services-unix-http-tomcat-manifests-instance-dependencies.pp,7,Use of weak cryptography algorithms,7,Use of weak cryptography algorithms,7,Use of weak cryptography algorithms,7,Use of weak cryptography algorithms,7,Use of weak cryptography algorithms
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp,44,Admin by default,44,Admin by default,44,Admin by default,44,Admin by default,44,Admin by default
SecGen@SecGen-modules-services-unix-smb-samba-manifests-params.pp,111,Unrestricted IP Address,111,Unrestricted IP Address,111,Unrestricted IP Address,111,Unrestricted IP Address,111,Unrestricted IP Address
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,0,none,none,none,0,none,0,none,none,none
SecGen@SecGen-modules-utilities-unix-firewall-firewall-manifests-linux-redhat.pp,none,none,72,Empty password,none,none,none,none,72,Empty password
SecGen@SecGen-modules-vulnerabilities-unix-access_control_misconfigurations-uid_less_root-uid_less_root.pp,2,Admin by default,2,Admin by default,2,Admin by default,2,Admin by default,2,Admin by default
StackStorm@st2workroom-modules-profile-manifests-ec2.pp,0,none,none,none,0,none,none,none,none,none
StackStorm@st2workroom-modules-profile-manifests-ec2.pp,none,none,5,Hard-coded secret,none,none,5,Hard-coded secret,5,Hard-coded secret
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,31,Missing Default in Case Statement,31,Missing Default in Case Statement,31,Missing Default in Case Statement,31,Missing Default in Case Statement,31,Missing Default in Case Statement
Vizir@carnival-vagrant-modules-apt-manifests-backports.pp,35,Missing Default in Case Statement,35,Missing Default in Case Statement,35,Missing Default in Case Statement,35,Missing Default in Case Statement,35,Missing Default in Case Statement
Yelp@puppet-uchiwa-manifests-repo-yum.pp,21,No integrity check,21,No integrity check,21,No integrity check,21,No integrity check,21,No integrity check
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,1,Suspicious comment,1,Suspicious comment,1,Suspicious comment,1,Suspicious comment,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk-manifests-node-s_calculators_frontend.pp,29,Unrestricted IP Address,29,Unrestricted IP Address,29,Unrestricted IP Address,29,Unrestricted IP Address,29,Unrestricted IP Address
alphagov@govuk-puppet-modules-govuk_beat-manifests-repo.pp,0,none,0,none,0,none,0,none,0,none
alphagov@govuk-puppet-modules-govuk_ci-manifests-agent-redis.pp,0,none,0,none,0,none,0,none,0,none
alphagov@govuk-puppet-modules-govuk_elasticsearch-manifests-dump.pp,1,Suspicious comment,1,Suspicious comment,1,Suspicious comment,1,Suspicious comment,1,Suspicious comment
alphagov@govuk-puppet-modules-govuk_jenkins-manifests-jobs-scrape_icinga_alerts_for_dashboard_metrics.pp,0,none,0,none,0,none,0,none,0,none
